Japanese Ku,Ku,Total_Complaints,Air pollution,Water pollution,Soil pollution,Noise,Vibration,ground_subsidence,Offensive_odors,other_pollution,,,,,,,,,,,,,
千代田区,Chiyoda,171,8,-,-,111,7,-,22,23,,,,,,,,,,,,,
中央区,Chuo,149,4,-,-,95,9,-,36,5,,,,,,,,,,,,,
港　区,Minato,175,11,4,-,125,12,-,18,5,,,,,,,,,,,,,
新宿区,Shinjuku,117,8,-,-,79,10,-,17,3,,,,,,,,,,,,,
文京区,Bunkyo,82,3,-,-,48,14,-,13,4,,,,,,,,,,,,,
台東区,Taito,138,19,-,-,51,8,-,9,51,,,,,,,,,,,,,
墨田区,Sumida,244,32,-,1,123,23,-,33,32,,,,,,,,,,,,,
江東区,Koto,93,13,1,-,45,3,-,29,2,,,,,,,,,,,,,
品川区,Shinagawa,158,8,-,-,102,15,-,13,20,,,,,,,,,,,,,
目黒区,Meguro,156,21,-,-,94,13,-,6,22,,,,,,,,,,,,,
大田区,Ota,140,21,-,-,66,21,-,9,23,,,,,,,,,,,,,
世田谷区,Setagaya,299,57,2,-,150,49,-,29,12,,,,,,,,,,,,,
渋谷区,Shibuya,90,3,-,-,68,9,-,8,2,,,,,,,,,,,,,
中野区,Nakano,53,5,-,-,29,17,-,2,-,,,,,,,,,,,,,
杉並区,Suginami,136,35,-,-,67,23,-,10,1,,,,,,,,,,,,,
豊島区,Toshima,115,13,-,-,81,12,-,9,-,,,,,,,,,,,,,
北　区,Kita,187,23,1,1,122,18,-,22,-,,,,,,,,,,,,,
荒川区,Arakawa,185,16,-,2,67,11,-,24,65,,,,,,,,,,,,,
板橋区,Itabashi,241,49,-,1,121,32,-,32,6,,,,,,,,,,,,,
練馬区,Nerima,186,42,-,-,89,32,-,21,2,,,,,,,,,,,,,
足立区,Adachi,373,70,-,-,193,27,-,76,7,,,,,,,,,,,,,
葛飾区,Katsushika,190,26,2,-,111,17,-,28,6,,,,,,,,,,,,,
江戸川区,Edogawa,256,35,1,-,163,22,-,35,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,